loggingTime(txt),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionGravityX(G),motionGravityY(G),motionGravityZ(G)
2026-03-24 18:43:08.900000-06:00,0.027480525969622655,0.10369839853568752,0.00017096148022005477,0.005886474994009169,-0.03501239465056875,0.9982770304436276
2026-03-24 18:43:09-06:00,0.0664045877032422,-0.07909050491248286,0.007653006276353291,-0.012419584669586457,0.01077050164939098,0.822800920395854
2026-03-24 18:43:09.100000-06:00,0.03848996548260619,0.06856465765577441,-0.04137209546583186,-0.004512966201506122,-0.019581657344760955,0.9767461528656575
2026-03-24 18:43:09.200000-06:00,-0.009554489045698583,0.062203596539083174,-0.012554777625386855,0.004064488892741151,-0.09672959675322358,1.0519947494812194
2026-03-24 18:43:09.300000-06:00,-0.0006615394655667328,-0.013704484202046572,-0.01976209714836361,-0.009037460702686443,-0.024908518199385114,1.0027161130457394
2026-03-24 18:43:09.400000-06:00,0.009275645607827341,0.03577673619431712,-0.033366371798728416,-0.010617645679207477,-0.05389373639316178,1.015100348233087
2026-03-24 18:43:09.500000-06:00,0.0053683383214451425,-0.006054781806223329,0.007820369851070447,0.011650662050751277,-0.004437218010227753,1.0056946429208753
2026-03-24 18:43:09.600000-06:00,0.0028107223159794634,-0.012462585082571523,-0.00604501537222191,-0.0032987223261766257,-0.0038244150652873296,1.0155340865637092
2026-03-24 18:43:09.700000-06:00,0.002915841801226719,0.010128059021174408,0.004927055620420837,0.0011101582089704434,-0.0024420592149204876,0.9912639984092427
2026-03-24 18:43:09.800000-06:00,0.011222018732186834,0.0007865342089296549,-0.004224343685152422,-0.010124018701595346,-0.0023725342191268173,0.9978533607297091
2026-03-24 18:43:09.900000-06:00,0.006184778492145636,0.014006798447991924,-0.005030721602178114,-0.00026777829330097426,-0.012664798376611788,1.003051758347652
2026-03-24 18:43:10-06:00,-0.003382308229619697,0.022583675363146438,-0.001782453437208425,0.007408308239816859,-0.00464967547531522,0.998522420704318
2026-03-24 18:43:10.100000-06:00,-0.002657340988003039,0.014604281788378295,0.002303117680349559,0.008147341140960471,0.0008897176915664386,1.0002929268404603
2026-03-24 18:43:10.200000-06:00,0.005813251212187649,-0.013103182024442599,-0.002113484625228799,0.0058987482983485695,0.0075521821417099625,1.0034894896830215
2026-03-24 18:43:10.300000-06:00,-0.0027499321378860265,-0.023028916092651418,-0.006503052010625443,0.012509932749715754,-0.006434085034134998,1.001779114682384
2026-03-24 18:43:10.400000-06:00,0.014844729851682278,-0.03915248938220493,-0.0028931194648529317,0.013398270561302791,0.018473488908036895,0.9988401554047509
2026-03-24 18:43:10.500000-06:00,0.015026855246184986,-0.017737296630347774,-0.004201295855363453,0.009739145375841904,-0.013250703349257905,1.0082612959573352
2026-03-24 18:43:10.600000-06:00,-0.005549961709656203,-0.035939100508328534,-3.423119617810363e-05,0.012808961979881,-0.0018198997618962638,0.9966522404042156
2026-03-24 18:43:10.700000-06:00,-0.001847125369009805,-0.0057282878454926,0.0011526772139313628,0.015023125328221159,-0.012022712751041387,0.9942453435168994
2026-03-24 18:43:10.800000-06:00,0.0038978417706352323,-0.0233093737412878,-0.009786912962122642,0.014097158560772538,-0.00273762803811699,1.0026839777090035
2026-03-24 18:43:10.900000-06:00,0.0022278479399183205,-0.025637184971422453,-0.009705127642976959,0.007532152671911408,-0.0013248153039009248,0.9986982088684718
2026-03-24 18:43:11-06:00,0.0044637057506895835,0.0032933197371171606,0.014107045729173573,0.014629294407366428,0.00439268006913676,0.9840359490753724
2026-03-24 18:43:11.100000-06:00,0.005750661642864791,-0.02980006118297278,-0.0008802863363126043,0.017124338484599735,0.00027606165204223664,1.0020122733043395
2026-03-24 18:43:11.200000-06:00,0.04025569180097179,-0.07610944614113892,0.003326260853604442,0.007263308061366519,-0.0051425512279932506,0.9832267414458556
2026-03-24 18:43:11.300000-06:00,-0.135163118904009,0.061239485451198936,0.0018672533433945337,0.07080811490162288,0.14603853507568848,0.9695577490784315
2026-03-24 18:43:11.400000-06:00,0.024159024743413908,0.15767983970061134,-0.06032159096123549,0.0505049736658288,0.025930169833735264,1.0222306016835514
2026-03-24 18:43:11.500000-06:00,-0.019485154461513363,0.20821993239281508,0.015573443530665417,-0.003999845003135627,0.04523505988283465,0.9969046198243028
2026-03-24 18:43:11.600000-06:00,-0.03098494592954781,0.302499253057874,0.0020468699300984538,0.016527945832674768,0.030621741369376912,0.9977431705016495
2026-03-24 18:43:11.700000-06:00,-0.00748497601117609,0.2709369662422948,0.023138927156572328,-0.0019090239786267486,-0.1199009651613956,1.040335042037801
2026-03-24 18:43:11.800000-06:00,-0.03872065180260334,0.2969211504438315,0.03699886607557117,0.006024650619732528,0.08756184833760762,1.0684431554098495
2026-03-24 18:43:11.900000-06:00,-0.017312773475141867,-0.06658312879525628,-0.041502699698673866,0.02274177349043761,0.02065012720959757,1.0049366960174984
2026-03-24 18:43:12-06:00,-0.0178254969841893,-0.17595541800716863,0.02473203897355366,0.04661749731049849,0.03547240902856737,0.9859160416656046
2026-03-24 18:43:12.100000-06:00,-0.018056026267889647,-0.33610390908210247,-0.0753503489978739,0.002318026033354917,0.0010918917265325106,1.0154823002758333
2026-03-24 18:43:12.200000-06:00,0.029218142790861306,0.337509312558315,-0.03754248086757456,0.06179386436754652,-0.44840731544411194,1.0740545415610836
2026-03-24 18:43:12.300000-06:00,-0.010441600342624648,0.12823828728464867,-0.04520443372609403,0.035512601143101875,0.029141715060698622,0.9919854445707762
2026-03-24 18:43:12.400000-06:00,0.014536326880229232,0.4366689440328757,-0.012702107753412226,0.04756167804500008,0.04175406484375397,1.0518980615194793
2026-03-24 18:43:12.500000-06:00,0.1242402451397776,-0.1828842367169217,-0.0020947158305843487,0.03179775968348009,-0.012437764170231425,0.9960287299944427
2026-03-24 18:43:12.600000-06:00,0.12850108854705738,0.36094938638576884,0.09290229895020216,0.0036249075882181796,-0.1680673828473536,0.8513166749093728
2026-03-24 18:43:12.700000-06:00,0.018198137998195103,-0.18781189295019196,-0.026331570923811908,0.018889861471552468,0.0181098846191105,1.011847623806295
2026-03-24 18:43:12.800000-06:00,0.15215958558733106,-0.08440098300642931,0.3205357588982986,-0.1284915847919524,-0.5489010416401116,0.7638002783825262
2026-03-24 18:43:12.900000-06:00,-0.04947239577225659,-0.26672115350298015,-0.05485004563230054,0.020680395445947398,0.10714515150433637,0.9871740298674878
2026-03-24 18:43:13-06:00,-0.08874849209465006,0.3675534050873642,0.129823364757588,0.005666491615383444,0.2223166320812918,0.9543906124925434
2026-03-24 18:43:13.100000-06:00,-0.015633619023825672,0.1412793053693157,-0.23424635323989337,0.008374618753600873,0.07020770599542148,1.016083371997573
2026-03-24 18:43:13.200000-06:00,-0.00048679015769911236,-0.0461894632723713,-0.03497125114080751,-0.03898021131579082,0.028499462099697656,0.9367342385014251
